hand,open_UTG,open_CO,open_BTN,face_BTN,face_BB
22,fold,fold,raise,fold,fold
32s,fold,fold,fold,fold,fold
32o,fold,fold,fold,fold,fold
42s,fold,fold,fold,fold,fold
42o,fold,fold,fold,fold,fold
52s,fold,fold,fold,fold,fold
52o,fold,fold,fold,fold,fold
62s,fold,fold,fold,fold,fold
62o,fold,fold,fold,fold,fold
72s,fold,fold,fold,fold,fold
72o,fold,fold,fold,fold,fold
82s,fold,fold,fold,fold,fold
82o,fold,fold,fold,fold,fold
92s,fold,fold,fold,fold,fold
92o,fold,fold,fold,fold,fold
T2s,fold,fold,fold,fold,fold
T2o,fold,fold,fold,fold,fold
J2s,fold,fold,fold,fold,fold
J2o,fold,fold,fold,fold,fold
Q2s,fold,fold,fold,fold,fold
Q2o,fold,fold,fold,fold,fold
K2s,fold,fold,fold,fold,fold
K2o,fold,fold,fold,fold,fold
A2s,fold,raise,raise,fold,call
A2o,fold,fold,fold,fold,fold
33,fold,fold,raise,fold,fold
43s,fold,fold,call,fold,fold
43o,fold,fold,fold,fold,fold
53s,fold,fold,fold,fold,fold
53o,fold,fold,fold,fold,fold
63s,fold,fold,fold,fold,fold
63o,fold,fold,fold,fold,fold
73s,fold,fold,fold,fold,fold
73o,fold,fold,fold,fold,fold
83s,fold,fold,fold,fold,fold
83o,fold,fold,fold,fold,fold
93s,fold,fold,fold,fold,fold
93o,fold,fold,fold,fold,fold
T3s,fold,fold,fold,fold,fold
T3o,fold,fold,fold,fold,fold
J3s,fold,fold,fold,fold,fold
J3o,fold,fold,fold,fold,fold
Q3s,fold,fold,fold,fold,fold
Q3o,fold,fold,fold,fold,fold
K3s,fold,fold,fold,fold,fold
K3o,fold,fold,fold,fold,fold
A3s,fold,raise,raise,fold,call
A3o,fold,fold,fold,fold,fold
44,fold,raise,raise,fold,call
54s,fold,call,call,fold,call
54o,fold,fold,fold,fold,fold
64s,fold,raise,call,fold,call
64o,fold,fold,fold,fold,fold
74s,fold,fold,fold,fold,fold
74o,fold,fold,fold,fold,fold
84s,fold,fold,fold,fold,fold
84o,fold,fold,fold,fold,fold
94s,fold,fold,fold,fold,fold
94o,fold,fold,fold,fold,fold
T4s,fold,fold,fold,fold,fold
T4o,fold,fold,fold,fold,fold
J4s,fold,fold,fold,fold,fold
J4o,fold,fold,fold,fold,fold
Q4s,fold,fold,fold,fold,fold
Q4o,fold,fold,fold,fold,fold
K4s,fold,fold,fold,fold,fold
K4o,fold,fold,fold,fold,fold
A4s,fold,raise,raise,fold,call
A4o,fold,fold,fold,fold,fold
55,fold,raise,raise,call,call
65s,fold,raise,raise,call,call
65o,fold,fold,fold,fold,fold
75s,fold,fold,fold,fold,fold
75o,fold,fold,fold,fold,fold
85s,fold,raise,call,fold,fold
85o,fold,fold,fold,fold,fold
95s,fold,raise,raise,fold,fold
95o,fold,fold,fold,fold,fold
T5s,fold,fold,fold,fold,fold
T5o,fold,fold,fold,fold,fold
J5s,fold,fold,fold,fold,fold
J5o,fold,fold,fold,fold,fold
Q5s,fold,fold,fold,fold,fold
Q5o,fold,fold,fold,fold,fold
K5s,fold,fold,fold,fold,fold
K5o,fold,fold,fold,fold,fold
A5s,fold,raise,raise,call,call
A5o,fold,fold,fold,fold,fold
66,raise,raise,raise,call,call
76s,fold,raise,raise,fold,call
76o,fold,fold,fold,fold,fold
86s,fold,raise,raise,fold,fold
86o,fold,fold,fold,fold,fold
96s,fold,raise,raise,fold,call
96o,fold,fold,fold,fold,fold
T6s,fold,raise,call,fold,fold
T6o,fold,fold,fold,fold,fold
J6s,fold,fold,fold,fold,fold
J6o,fold,fold,fold,fold,fold
Q6s,fold,fold,fold,fold,fold
Q6o,fold,fold,fold,fold,fold
K6s,fold,raise,fold,fold,fold
K6o,fold,fold,fold,fold,fold
A6s,fold,raise,raise,fold,call
A6o,fold,fold,fold,fold,fold
77,raise,raise,raise,call,call
87s,fold,raise,raise,call,call
87o,fold,fold,fold,fold,fold
97s,fold,raise,raise,fold,call
97o,fold,fold,fold,fold,fold
T7s,fold,raise,raise,fold,fold
T7o,fold,fold,fold,fold,fold
J7s,fold,fold,fold,fold,fold
J7o,fold,fold,fold,fold,fold
Q7s,fold,fold,fold,fold,fold
Q7o,fold,fold,fold,fold,fold
K7s,fold,raise,raise,fold,fold
K7o,fold,fold,fold,fold,fold
A7s,fold,raise,raise,call,call
A7o,fold,raise,fold,fold,fold
88,raise,raise,raise,call,call
98s,fold,raise,raise,call,call
98o,fold,raise,fold,fold,fold
T8s,fold,raise,raise,call,call
T8o,fold,fold,fold,fold,fold
